Término ,Definición 
Köj,León
B'alam,Tigre
Utiw,Coyote
Nimaqul,Cocodrilo
Tix,Elefante
Ixpa'ch,Lagartija
Oxox,Oso
Par,Zorillo
B'atz',Mono
K'oy,Mico
Kumatz,Serpiente
Masat,Venado
