Término ,Definición 
Coco,Wachxan
Banano,Saq'ul
Durazno,Tur'as
Limon ,Limonix
Piña,Ch'op
Platano ,Nimasaq'ul
Melon,Q'anaq'oq'
Aguacate,Oj
Papaya,Kaqrab'
Manzana,Nimamixku
Mango ,Q'anatz'ub'
Anona ,Päk
Naranja ,Arañazo
Fresa,Saqatokan
Sandía,Kaqaq'oq'
