Término ,Definición 
Käq,rojo
Säq,blanco
Q'ëq,negro
Q'än,amarillo
Aranxäx,naranja
Räx,verde
Xar,azul
Tuq',morado
Käqkoj,rosado
K'aqö'j,cafe
,
üs,mosquito
ük,piojo
äm,araña
Xuru'y',abeja
palamax,mariposa
lol ,
