Término ,Definición 
Cebolla,Xnakät
Repollo,Ruk'u'x ichaj
Lechuga,Yuch'ichaj
Rábano,Kaqxe'
Zanahoria,Q'anawäch
Papa,is
Remolacha,nimakaqxe
Chile,ik
